Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
0,74.44,0.53,0.8,28.36,11.46,-1092.16,-0.12
1,71.97,0.49,0.8,36.15,16.23,-1118.97,-0.35
2,68.03,0.46,0.8,95.4,29.3,-130.02,2.59
3,33.17,0.65,0.8,65.31,16.45,26.72,11.52
4,66.68,0.38,0.8,50.03,13.92,-26.43,3.77
5,62.62,0.48,0.8,66.91,20.35,52.93,11.52
6,41.26,0.75,0.8,57.24,8.87,33.92,11.52
7,41.19,0.72,0.8,68.55,13.66,33.85,11.52
8,35.27,0.59,0.8,66.39,19.93,28.63,11.52
9,69.14,0.41,0.8,44.26,17.94,-1106.83,-0.19
10,66.17,0.3,0.8,50.91,11.34,58.3,7.84
11,41.47,0.59,0.8,55.0,15.54,34.09,11.52
12,71.7,0.37,0.8,35.28,8.59,-870.96,0.16
13,50.34,0.52,0.8,69.3,22.05,41.99,11.52
14,62.94,0.32,0.8,61.6,20.07,55.39,5.1
15,22.86,0.58,0.8,43.34,15.73,17.6,11.52
16,64.06,0.15,0.8,56.83,11.73,17.31,4.74
17,49.18,0.55,0.8,65.61,19.15,40.98,11.52
18,51.98,0.57,0.8,64.5,17.39,43.48,11.52
19,64.96,0.36,0.8,54.78,14.26,57.46,9.18
20,44.78,0.58,0.8,50.92,13.73,37.03,11.52
21,54.22,0.61,0.8,57.31,13.44,45.45,11.52
22,72.58,0.6,0.8,35.87,22.76,-1113.16,-0.44
23,68.55,0.6,0.8,47.42,25.67,-444.02,1.09
24,25.25,0.68,0.8,49.77,12.42,19.72,11.52
25,21.9,0.72,0.8,56.53,13.6,16.69,11.52
26,39.16,0.69,0.8,66.58,16.18,32.04,11.52
27,13.26,0.86,0.8,20.64,-2.65,9.02,11.52
28,50.15,0.58,0.8,63.07,17.18,41.83,11.52
29,69.13,0.31,0.8,43.44,13.7,-1132.09,-0.33
30,66.58,0.25,0.8,50.62,14.77,-1128.69,-0.04
31,67.63,0.38,0.8,47.83,15.54,-499.2,0.93
32,16.84,0.78,0.8,31.28,3.63,12.24,11.52
33,39.89,0.59,0.8,56.95,16.24,32.74,11.52
34,44.17,0.79,0.8,85.56,16.23,36.48,11.52
35,72.88,0.39,0.8,80.67,26.05,-1086.44,-0.22
36,47.51,0.41,0.8,66.59,26.03,39.5,11.52
37,51.49,0.48,0.8,73.03,25.26,43.05,11.52
38,84.56,0.4,0.8,92.52,28.09,-1120.9,-0.98
39,17.98,0.87,0.8,58.41,8.98,13.23,11.52
40,49.16,0.78,0.8,75.54,12.15,40.96,11.52
41,34.56,0.63,0.8,59.0,15.94,27.98,11.52
42,34.05,0.63,0.8,65.87,18.51,27.51,11.52
43,66.03,0.47,0.8,53.05,19.91,58.55,5.17
44,65.94,0.44,0.8,54.59,25.52,-796.3,0.26
45,53.59,0.75,0.8,69.84,10.29,44.88,11.52
46,3.83,0.72,0.8,31.34,9.04,0.61,11.54
47,70.36,0.44,0.8,39.39,11.12,-681.92,0.52
48,66.9,0.51,0.8,51.95,25.53,-328.83,1.48
49,44.67,0.61,0.8,60.66,15.29,36.98,11.52
50,32.44,0.58,0.8,31.85,10.27,26.07,11.52
51,47.76,0.69,0.8,70.86,14.73,39.68,11.52
52,44.67,0.57,0.8,64.88,19.56,36.94,11.52
53,69.68,0.46,0.8,42.69,17.69,-1131.05,-0.25
54,32.97,0.74,0.8,44.99,7.34,26.53,11.52
55,71.97,0.4,0.8,34.73,9.6,-1125.71,-0.15
