Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance,,
12,72.25,0.54,0.8,56.81,23.91,-1111.54,-0.42,,13
13,71.33,0.31,0.8,51.56,10.76,-1111.72,-0.1,,1
79,68.17,0.44,0.8,46.61,20.14,-1175.14,-0.06,,66
81,66.5,0.48,0.8,57.63,25.69,-1199.7,-0.05,,2
101,72.04,0.57,0.8,32.86,21.79,-1113.67,-0.41,,20
112,71.48,0.5,0.8,47.19,16.57,-1108.82,-0.11,,11
136,73.06,0.61,0.8,21.1,23.86,-1093.58,-0.18,,24
177,67.3,0.35,0.8,60.54,21.5,-1104.55,-0.18,,41
226,69.96,0.44,0.8,56.75,16.64,-1156.77,-0.18,,49
242,69.89,0.47,0.8,51.56,17.62,-1162.4,-0.17,,16
,,,,,,,,avg=,24.2
